Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
871b7335,2024-11-29,2024-12-05,Same Day,72c8b3,Damini Dada,Corporate,India,Chennai,600001,c1d25dcc-0,Technology,Phones,Phones - Porro,838.99,2,0.3,126.78
14d770c7,2024-09-03,2024-09-06,First Class,082a93,Aradhya Mahal,Corporate,India,Lucknow,226001,d3856d46-6,Furniture,Chairs,Chairs - Repellat,846.09,8,0.3,93.07
82326bab,2025-06-07,2025-06-10,Standard Class,542cd7,Saira Chakrabarti,Home Office,India,Jaipur,302001,5e670f83-7,Office Supplies,Paper,Paper - Rem,2660.96,7,0,485.81
1320e232,2025-04-08,2025-04-11,First Class,b9ac5b,Divit Balan,Corporate,India,Pune,411001,8002a13b-4,Office Supplies,Pens,Pens - Qui,3921.13,8,0.3,270.08
ee968646,2025-03-22,2025-03-29,First Class,8b65b7,Akarsh Taneja,Corporate,India,Jaipur,302001,5818dd10-8,Technology,Phones,Phones - Harum,849.25,3,0.1,93.63
b635a15a,2024-09-03,2024-09-04,Standard Class,f8687a,Navya Bali,Home Office,India,Hyderabad,500001,d5fe2c7a-e,Technology,Phones,Phones - Dolorum,1944.68,2,0,205.38
3c17970c,2025-02-26,2025-03-02,Same Day,86ce28,Adira Gera,Consumer,India,Bengaluru,560001,1e526333-c,Furniture,Bookcases,Bookcases - Qui,162.16,1,0.3,21.22
e6c2a2ce,2024-08-20,2024-08-24,First Class,45e12d,Azad Bhatt,Home Office,India,Delhi,110001,2d3a38f1-6,Furniture,Bookcases,Bookcases - Necessitatibus,1578.27,2,0.1,186.04
14c4d45b,2025-06-05,2025-06-09,Same Day,3d5f73,Nehmat Kara,Corporate,India,Kolkata,700001,90240547-3,Furniture,Bookcases,Bookcases - Commodi,5941.35,7,0.2,586.99
cc4fa175,2025-05-23,2025-05-25,Same Day,97ece0,Nirvaan Arora,Home Office,India,Ahmedabad,380001,7bb08f40-4,Office Supplies,Binders,Binders - Est,5523.59,7,0.2,712.82
30f43b70,2024-09-08,2024-09-13,Standard Class,fc0c6f,Inaaya  Zachariah,Home Office,India,Mumbai,400001,6b04a427-7,Office Supplies,Binders,Binders - Non,5852.27,7,0,394.91
97668a64,2024-10-26,2024-10-31,First Class,ff1347,Keya Butala,Consumer,India,Pune,411001,2b552f37-3,Technology,Phones,Phones - Repellat,4297.33,6,0.1,695.47
d4cf4131,2024-08-28,2024-08-29,Second Class,407329,Jayan Sharaf,Home Office,India,Lucknow,226001,6f2d588d-1,Office Supplies,Binders,Binders - Ad,3900.73,4,0.1,773.3
ee1e9cfd,2025-06-09,2025-06-12,Same Day,0bf340,Miraya Bhandari,Corporate,India,Delhi,110001,5de95073-e,Technology,Copiers,Copiers - Beatae,1492.55,4,0.1,163.46
43270ec8,2024-07-02,2024-07-04,First Class,adb8ed,Reyansh Rajagopalan,Corporate,India,Delhi,110001,eae6f7b9-f,Office Supplies,Pens,Pens - Qui,3219.1,6,0.3,407.84
9028b960,2025-03-09,2025-03-12,First Class,01ab0d,Arnav Kade,Corporate,India,Delhi,110001,b6651010-c,Technology,Copiers,Copiers - Harum,1081.05,2,0.2,138.65
c12740e3,2024-08-29,2024-09-05,Same Day,e58886,Arhaan Sidhu,Corporate,India,Mumbai,400001,a19fdb42-5,Technology,Accessories,Accessories - Soluta,1497.76,6,0,187.68
a9369d7f,2025-01-19,2025-01-20,Second Class,e59939,Aaina Sankaran,Home Office,India,Pune,411001,9c15d10d-5,Technology,Accessories,Accessories - Nihil,4414.65,8,0,962.26
287d8092,2025-03-22,2025-03-26,First Class,7df5d1,Dhanush Doctor,Consumer,India,Delhi,110001,587d727b-e,Technology,Phones,Phones - Vitae,2904.77,8,0,436.41
6bf9a14c,2024-12-09,2024-12-12,Standard Class,310326,Nayantara Deshmukh,Corporate,India,Ahmedabad,380001,a3cd41f9-e,Furniture,Chairs,Chairs - Sequi,3806.67,5,0.2,685.5
13648f35,2025-02-26,2025-03-01,Second Class,9ed3c7,Gatik Loyal,Corporate,India,Kolkata,700001,b4d3ac83-8,Office Supplies,Paper,Paper - Illo,1117.68,10,0.2,56.15
8374ad2c,2024-07-03,2024-07-07,First Class,8eb2b4,Piya Ram,Consumer,India,Delhi,110001,fcf0ed43-a,Office Supplies,Paper,Paper - Odit,1042.07,10,0.3,167.92
03ec9384,2025-05-05,2025-05-06,Same Day,dbe8b2,Aradhya Ranganathan,Consumer,India,Ahmedabad,380001,e8238608-a,Office Supplies,Binders,Binders - Eveniet,9737.78,10,0.3,1478.46
90977f99,2025-05-30,2025-06-04,Same Day,4998c1,Seher Loke,Corporate,India,Kolkata,700001,839d4888-c,Furniture,Chairs,Chairs - Reprehenderit,2873.03,4,0.1,426.37
a44827eb,2024-07-06,2024-07-09,Standard Class,374eea,Samaira Gupta,Corporate,India,Ahmedabad,380001,867e2d87-9,Furniture,Chairs,Chairs - Enim,6287.18,9,0.2,262.33
fa52b401,2024-08-04,2024-08-05,Same Day,3530a7,Shayak Chopra,Home Office,India,Ahmedabad,380001,899b6e6b-a,Technology,Accessories,Accessories - Tempore,915.21,1,0.1,202.78
ab916d41,2025-01-23,2025-01-30,Same Day,41616e,Kavya Zachariah,Home Office,India,Bengaluru,560001,aa418a09-8,Office Supplies,Binders,Binders - Excepturi,6463.57,9,0.1,297.15
a3e7cf9d,2024-11-04,2024-11-08,First Class,4bf817,Mishti Gopal,Consumer,India,Bengaluru,560001,3625f325-3,Furniture,Tables,Tables - Incidunt,2127.69,3,0.1,387.38
120627c4,2025-03-17,2025-03-23,Standard Class,650924,Nakul Hayre,Consumer,India,Mumbai,400001,dcdf2fed-7,Technology,Phones,Phones - In,1088.75,6,0.2,164.91
ac823786,2025-04-19,2025-04-26,First Class,c7f4a2,Dharmajan Mani,Consumer,India,Mumbai,400001,1f30abdc-1,Office Supplies,Binders,Binders - Cumque,2517.28,7,0.2,320.59
42d93b48,2025-05-21,2025-05-22,Same Day,4847cc,Manjari Wali,Corporate,India,Hyderabad,500001,adb1d1e0-8,Office Supplies,Binders,Binders - Sint,2584.21,6,0,414.67
0b3a4bf2,2024-06-19,2024-06-26,Second Class,d06ebc,Tarini Seshadri,Consumer,India,Chennai,600001,0c94fc85-2,Furniture,Bookcases,Bookcases - Sequi,1184.06,4,0.1,162.43
29202f93,2024-09-25,2024-09-26,Second Class,298f85,Ehsaan Chaudhary,Home Office,India,Pune,411001,418d2ab3-b,Office Supplies,Pens,Pens - Nemo,849.74,3,0.2,153.13
b660f4df,2025-05-14,2025-05-20,Standard Class,7d50e0,Yakshit Shan,Consumer,India,Bengaluru,560001,7cb478c4-a,Office Supplies,Binders,Binders - Cum,6327.22,8,0.3,271.84
06de2de7,2024-08-24,2024-08-26,Standard Class,e4fa90,Vanya Jha,Home Office,India,Mumbai,400001,f83ce66a-6,Technology,Accessories,Accessories - Rem,3075.64,7,0.1,279.75
